n-votes,n-comments,n-visitors,n-voters,n-commenters
0,0,1,0,0
0,1,1,0,1
1,1,1,1,1
1,2,1,1,2
2,2,1,2,2
2,3,1,2,3
3,3,1,3,3
3,3,2,3,3
4,3,2,4,3
5,3,2,5,3
6,3,2,6,3
6,3,3,6,3
7,3,3,7,3
8,3,3,8,3
9,3,3,9,3
9,3,4,9,3
10,3,4,10,3
11,3,4,11,3
12,3,4,12,3
12,3,5,12,3
13,3,5,13,3
14,3,5,14,3
15,3,5,15,3
15,3,6,15,3
16,3,6,16,3
17,3,6,17,3
18,3,6,18,3
18,3,7,18,3
19,3,7,19,3
20,3,7,20,3
21,3,7,21,3
21,3,8,21,3
22,3,8,22,3
23,3,8,23,3
24,3,8,24,3
24,3,9,24,3
24,4,9,24,4
25,4,9,25,4
26,4,9,26,4
27,4,9,27,4
28,4,9,28,4
28,4,10,28,4
28,5,10,28,5
29,5,10,29,5
30,5,10,30,5
31,5,10,31,5
32,5,10,32,5
33,5,10,33,5
33,5,11,33,5
33,6,11,33,6
34,6,11,34,6
35,6,11,35,6
35,6,12,35,6
36,6,12,36,6
37,6,12,37,6
37,7,12,37,7
38,7,12,38,7
39,7,12,39,7
40,7,12,40,7
41,7,12,41,7
42,7,12,42,7
43,7,12,43,7
43,8,12,43,8
44,8,12,44,8
45,8,12,45,8
46,8,12,46,8
46,9,12,46,9
47,9,12,47,9
48,9,12,48,9
48,10,12,48,10
49,10,12,49,10
49,11,12,49,11
50,11,12,50,11
50,12,12,50,12
51,12,12,51,12
52,12,12,52,12
52,13,12,52,13
53,13,12,53,13
53,14,12,53,14
54,14,12,54,14
55,14,12,55,14
56,14,12,56,14
56,15,12,56,15
57,15,12,57,15
58,15,12,58,15
58,16,12,58,16
59,16,12,59,16
60,16,12,60,16
60,17,12,60,17
61,17,12,61,17
62,17,12,62,17
62,18,12,62,18
63,18,12,63,18
64,18,12,64,18
65,18,12,65,18
65,19,12,65,19
66,19,12,66,19
